latin_name
Acleris scabrana
Acleris schalleriana
Acleris semiannula
Acleris senescens
Acleris subnivana
Acleris variana
Acleris variegana
Aclypea bituberosa
Acmaeodera idahoensis
Acmaeodera vandykei
Acmaeops proteus
Acmaeopsoides rufula
Acmispon americanus
Acmispon denticulatus
Acmispon parviflorus
Acolium karelicum
Aconitum columbianum
Aconitum delphiniifolium
Acopa perpallida
Acorus americanus
Acossus centerensis
Acossus populi
Acritus nigricornis
Acrobasis betulella
Acrobasis rubrifasciella
Acrobasis tricolorella
Acrobasis vaccinii
Acrocercops astericola
Acrocercops pnosmodiella
Acrocheilus alutaceus
Acrocordia cavata
Acrocordia gemmata
Acrolocha angustior
Acrolocha crenulata
Acrolocha diffusa
Acrolocha helferi
Acrolocha leechi
Acrolocha minuta
Acroloxus coloradensis
Acromacer bombifrons
Acronicta cyanescens
Acronicta dactylina
Acronicta fragilis
Acronicta funeralis
Acronicta grisea
Acronicta hasta
Acronicta impleta
Acronicta impressa
Acronicta innotata
Acronicta lanceolaria
Acronicta lepusculina
Acronicta lupini
Acronicta mansueta
Acronicta marmorata
Acronicta oblinita
Acronicta perdita
Acronicta quadrata
Acronicta radcliffei
Acronicta strigulata
Acronicta vulpina
Acrosathe otiosa
Acroscyphus sphaerophoroides
Acrotrichis aspera
Acrotrichis castanea
Acrotrichis cognata
Acrotrichis diffinis
Acrotrichis grandicollis
Acrotrichis henrici
Acrotrichis insularis
Acrotrichis intermedia
Acrotrichis josephi
Acrotrichis parallelopipeda
Acrotrichis parva
Acrotrichis silvatica
Acrotrichis vicina
Acrotrichis volans
Acrotrichis xanthocera
Acrulia tumidula
Actaea elata
Actaea rubra
Actebia balanitis
Actebia fennica
Actiastes foveicollis
Actidium crotchianum
Actinemys marmorata
Actitis macularius
Actium barri
Actium fastosum
Actium retractum
Actium wawonaensis
Actizona trifoveata
Aculepeira carbonarioides
Aculepeira packardi
Acupalpus carus
Acupalpus meridianus
Acylophorus pronus
Adaina cinerascens
Adaina montanus
Adalia bipunctata
Adela purpurea
Adela septentrionella
Adela trigrapha
Adelolecia kolaensis
Adelolecia pilati
Adelphagrotis indeterminata
Adelphagrotis stellaris
Adenocaulon bicolor
Aderus populneus
Adiantum aleuticum
Adiantum capillus-veneris
Admetovis oxymorus
Admetovis similaris
Adota maritima
Adoxa moschatellina
Adranes taylori
Aechmophorus clarkii
Aechmophorus occidentalis
Aedes aboriginis
Aedes aloponotum
Aedes campestris
Aedes canadensis
Aedes cataphylla
Aedes cinereus
Aedes communis
Aedes diantaeus
Aedes dorsalis
Aedes euedes
Aedes excrucians
Aedes fitchii
Aedes flavescens
Aedes hendersoni
Aedes hexodontus
Aedes impiger
Aedes implicatus
Aedes increpitus
Aedes melanimon
Aedes mercurator
Aedes nevadensis
Aedes nigripes
Aedes pionips
Aedes provocans
Aedes pullatus
Aedes punctor
Aedes riparius
Aedes sierrensis
Aedes spencerii
Aedes sticticus
Aedes togoi
Aedes vexans
Aegialia blanchardi
Aegialia conferta
Aegialia crassa
Aegialia criddlei
Aegialia cylindrica
Aegialia lacustris
Aegialia opaca
Aegialia terminalis
Aegialites canadensis
Aegialites charlottae
Aegialites latus
Aegilops cylindrica
Aegolius acadicus
Aegolius funereus
Aegopinella nitidula
Aegopodium podagraria
Aeolus mellillus
Aeronautes saxatalis
Aeropedellus clavatus
Aeropsis fulva
Aesculus hippocastanum
Aeshna canadensis
Aeshna constricta
Aeshna eremita
Aeshna interrupta
Aeshna juncea
Aeshna palmata
Aeshna septentrionalis
Aeshna sitchensis
Aeshna subarctica
Aeshna tuberculifera
Aeshna umbrosa
Aethalura intertexta
Aetheca thamba
Aetheca wagneri
Aethes biscana
Aethes deutschiana
Aethes monera
Aethes promptana
Aethes razowskii
Aethes rutilana
Aethes smeathmanniana
Aethia cristatella
Aethia psittacula
Aetole extraneella
Afrogethes canadensis
Agabinus glabrellus
Agabinus sculpturellus
Agabus adpressus
Agabus ajax
Agabus ambiguus
Agabus ancillus
Agabus antennatus
Agabus anthracinus
Agabus approximatus
Agabus arcticus
Agabus audeni
Agabus austinii
Agabus bicolor
Agabus bifarius
Agabus canadensis
Agabus clavicornis
Agabus confinis
Agabus coxalis
Agabus discolor
Agabus elongatus
Agabus fuscipennis
Agabus griseipennis
Agabus infuscatus
Agabus inscriptus
Agabus kootenai
Agabus leptapsis
Agabus lutosus
Agabus obliteratus
Agabus oblongulus
Agabus phaeopterus
Agabus pisobius
Agabus punctulatus
Agabus semipunctatus
Agabus smithi
Agabus strigulosus
Agabus thomsoni
Agabus tristis
Agapeta zoegana
Agapetus taho
Agapostemon femoratus
Agapostemon obliquus
Agapostemon texanus
Agapostemon virescens
Agaricus abruptibulbus
Agaricus albolutescens
Agaricus arvensis
Agaricus augustus
Agaricus bernardii
Agaricus bisporus
Agaricus bitorquis
Agaricus californicus
Agaricus campestris
Agaricus comtulus
Agaricus crocodilinus
Agaricus diminutivus
Agaricus dulcidulus
Agaricus fuscofibrillosus
Agaricus hondensis
Agaricus kerriganii
Agaricus micromegethus
Agaricus moelleri
Agaricus osecanus
Agaricus perobscurus
Agaricus queletii
Agaricus siccus
Agaricus smithii
Agaricus subrufescens
Agaricus subrutilescens
Agaricus sylvaticus
Agaricus sylvicola
Agaricus xanthodermus
Agasphaerops niger
Agastache foeniculum
Agastache urticifolia
Agathidium angulare
Agathidium angustoperculum
Agathidium athabascanum
Agathidium cavisternum
Agathidium columbianum
Agathidium concinnum
Agathidium conjunctum
Agathidium depressum
Agathidium difforme
Agathidium estriatum
Agathidium exiguum
Agathidium maculosum
Agathidium marae
Agathidium omissum
Agathidium picipes
Agathidium pulchrum
Agathidium rotundulum
Agathidium sexstriatum
Agelaius phoeniceus
Agelenopsis actuosa
Agelenopsis oklahoma
Agelenopsis oregonensis
Agelenopsis potteri
Agelenopsis utahana
Ageneotettix deorum
Aglais milberti
Aglossa cacamica
Aglossa caprealis
Aglossa cuprina
Aglossa pinguinalis
Agnippe prunifoliella
Agnorisma bugrai
Agnyphantes arboreus
Agoliinus albertanus
Agoliinus aleutus
Agoliinus aquilonarius
Agoliinus bidentatus
Agoliinus canadensis
Agoliinus congregatus
Agoliinus corruptor
Agoliinus guttatus
Agoliinus hatchi
Agoliinus incommunis
Agoliinus leopardus
Agoliinus piceatus
Agoliinus sigmoideus
Agonimia gelatinosa
Agonimia globulifera
Agonimia octospora
Agonimia tristicula
Agonopsis vulsa
Agonopterix alstroemeriana
Agonopterix antennariella
Agonopterix arenella
Agonopterix argillacea
Agonopterix arnicella
Agonopterix canadensis
Agonopterix clarkei
Agonopterix conterminella
Agonopterix flavicomella
Agonopterix fusciterminella
Agonopterix gelidella
Agonopterix nervosa
Agonopterix nubiferella
Agonopterix oregonensis
Agonopterix posticella
Agonopterix rosaciliella
Agonopterix sabulella
Agonopterix thelmae
Agonum affine
Agonum anchomenoides
Agonum belleri
Agonum bicolor
Agonum brevicolle
Agonum consimile
Agonum corvus
Agonum cupreum
Agonum cupripennis
Agonum decorum
Agonum errans
Agonum exaratum
Agonum ferruginosum
Agonum gratiosum
Agonum harrisii
Agonum limbatum
Agonum lutulentum
Agonum melanarium
Agonum metallescens
Agonum muelleri
Agonum mutatum
Agonum nigriceps
Agonum piceolum
Agonum picicornoides
Agonum placidum
Agonum propinquum
Agonum quinquepunctatum
Agonum retractum
Agonum simile
Agonum sordens
Agonum suturale
Agonum thoreyi
Agoseris aurantiaca
Agoseris glauca
Agoseris grandiflora
Agoseris heterophylla
Agoseris lackschewitzii
Agraylea multipunctata
Agraylea saltesea
Agrenia agilis
Agrenia atroviridis
Agrenia bidenticulata
Agrenia cyanura
Agrenia riparia
Agrestia hispida
Agriades glandon
Agriades optilete
Agrilus anxius
Agrilus burkei
Agrilus cephalicus
Agrilus crataegi
Agrilus granulatus
Agrilus politus
Agrilus vittaticollis
Agrilus walsinghami
Agrimonia gryposepala
Agrimonia striata
Agriotes apicalis
Agriotes criddlei
Agriotes ferrugineipennis
Agriotes hoodi
Agriotes limosus
Agriotes lineatus
Agriotes obscurus
Agriotes opaculus
Agriotes sparsus
Agriotes stabilis
Agriotes tardus
Agriotes thevenetii
Agriphila attenuatus
Agriphila plumbifimbriellus
Agriphila ruricolellus
Agriphila straminella
Agriphila vulgivagellus
Agrius cingulata
Agrochola pulchella
Agrochola purpurea
Agrocybe acericola
Agrocybe amara
Agrocybe arvalis
Agrocybe dura
Agrocybe pediades
Agrocybe praecox
Agrocybe putaminum
Agrocybe sororia
Agroeca ornata
Agroeca pratensis
Agronus carri
Agropyron cristatum
Agropyron fragile
Agrostis canina
Agrostis capillaris
Agrostis castellana
Agrostis exarata
Agrostis gigantea
Agrostis idahoensis
Agrostis mertensii
Agrostis microphylla
Agrostis oregonensis
Agrostis pallens
Agrostis scabra
Agrostis stolonifera
Agrostis variabilis
Agrotis antica
Agrotis gravis
Agrotis ipsilon
Agrotis obliqua
Agrotis ruta
Agrotis vancouverensis
Agrotis venerabilis
Agrotis vetusta
Agrypnia colorata
Agrypnia deflata
Agrypnia glacialis
Agrypnia improba
Agrypnia macdunnoughi
Agrypnia obsoleta
Agrypnia pagetana
Agrypnia sahlbergi
Agrypnia straminea
Agrypnia vestita
Agulla adnixa
Agulla arizonica
Agulla assimilis
Agulla bicolor
Agulla crotchi
Agulla herbsti
Agulla unicolor
Agyneta allosubtilis
Agyneta amersaxatilis
Agyneta aquila
Agyneta bucklei
Agyneta danielbelangeri
Agyneta darrelli
Agyneta decora
Agyneta decorata
Agyneta emertoni
Agyneta fabra
Agyneta fillmorana
Agyneta flibuscrocus
Agyneta fratrella
Agyneta jacksoni
Agyneta lophophor
Agyneta manni
Agyneta maritima
Agyneta nigripes
Agyneta olivacea
Agyneta ordinaria
Agyneta perspicua
Agyneta protrudens
Agyneta simplex
Agyneta uta
Agyneta watertoni
Agyrium rufum
Agyrtes longulus
Ahasverus advena
Ahtiana pallidula
Ahtiana sphaerosporella
Ailanthus altissima
Aira caryophyllea
Aira praecox
Airora aequalis
Aix sponsa
Ajuga reptans
Akephorus obesus
Alabama argillacea
Alaskaperla ovibovis
Alastria chico
Alauda arvensis
Alaus melanops
Albatrellus avellaneus
Albatrellus confluens
Albatrellus ellisii
Albatrellus flettii
Albatrellus ovinus
Albatrellus subrubescens
Albatrossia pectoralis
Alboleptonia sericella
Albotricha laetior
Albuna pyramidalis
Alcea rosea
Alces alces
Alchemilla mollis
Alchemilla monticola
Alchemilla subcrenata
Alcyonium sp.
Alectoria imshaugii
Alectoria ochroleuca
Alectoria sarmentosa
Alectoria sorediosa
Alectoria vancouverensis
Alectoris chukar
Aleochara assiniboin
Aleochara bilineata
Aleochara bimaculata
Aleochara carmanah
Aleochara castaneipennis
Aleochara curtidens
Aleochara curtula
Aleochara fumata
Aleochara gracilicornis
Aleochara lacertina
Aleochara lanuginosa
Aleochara laramiensis
Aleochara lata
Aleochara litoralis
Aleochara pacifica
Aleochara quadrata
Aleochara rubricalis
Aleochara suffusa
Aleochara sulcicollis
Aleochara tahoensis
Aleochara verna
Aleochara villosa
Alepisaurus ferox
Alepocephalus tenebrosus
Aletopauropus lentus
Aleuria aurantia
Aleurocystidiellum subcruentatum
Aleurocystidiellum tsugae
Aleurodiscus abietis
Aleurodiscus amorphus
Aleurodiscus aurantius
Aleurodiscus cerussatus
Aleurodiscus farlowii
Aleurodiscus grantii
Aleurodiscus laurentianus
Aleurodiscus macrocystidiatus
Aleurodiscus occidentalis
Aleurodiscus piceinus
Aleurodiscus spiniger
Alfocalea montana
Alisma gramineum
Alisma lanceolatum
Alisma plantago-aquatica
Alisma triviale
Allandrus populi
Allantoparmelia almquistii
Allantoparmelia alpicola
Alle alle
Alliaria petiolata
Allium acuminatum
Allium amplectens
Allium cernuum
Allium crenulatum
Allium geyeri
Allium sativum
Allium schoenoprasum
Allium vineale
Allocalicium adaequatum
Allocetraria madreporiformis
Alloclavaria purpurea
Allocosmoecus partitus
Allocyttus folletti
Allogona ptychophora
Allogona townsendiana
Allolobophora chlorotica
Allolumpenus hypochromus
Allomengea dentisetis
Allomyia bifosa
Allomyia cascadis
Allomyia cidoipes
Allomyia picoides
Allomyia tripunctata
Allonemobius allardi
Allonemobius fasciatus
Allonychiurus flavescens
Allopauropus broelemanni
Allopauropus marshalli
Alloperla delicata
Alloperla elevata
Alloperla fraterna
Alloperla imbecilla
Alloperla medveda
Alloperla serrata
Alloperla severa
Allopoda californica
Allosirocallus angulatus
Allosirocallus disturbatus
Allosmerus elongatus
Allotropa virgata
Alnicola luteolofibrillosa
Alniphagus aspericollis
Alniphagus hirsutus
Alnus alnobetula
Alnus incana
Alnus rubra
Alnus spp.
Alocentron attenuatum
Aloconota cambrica
Aloconota carmanah
Aloina bifrons
Aloina brevirostris
Aloina rigida
Alopecosa aculeata
Alopecosa kochi
Alopecosa pictilis
Alopecurus aequalis
Alopecurus arundinaceus
Alopecurus carolinianus
Alopecurus geniculatus
Alopecurus magellanicus
Alopecurus pratensis
Alopias vulpinus
Alosa sapidissima
Alphitobius diaperinus
Alphitobius laevigatus
Alpova diplophloeus
Alsia californica
Alsophila pometaria
Altica ambiens
Altica bimarginata
Altica carduorum
Altica caurina
Altica corni
Altica lazulina
Altica prasina
Altica probata
Altica subcostata
Altica subplicata
Altica tincta
Altica tombacina
Alucita adriendenisi
Alucita montana
Alypia langtoni
Alypia ridingsii
Alyssum alyssoides
Alyssum desertorum
Alyssum murale
Alyxoria ochrocheila
Alyxoria varia
Amalaraeus dissimilis
Amalus scortillum
Amandinea cacuminum
Amandinea coniops
Amandinea dakotensis
Amandinea lignicola
Amandinea polyspora
Amandinea punctata
Amanita aprica
Amanita augusta
Amanita ceciliae
Amanita constricta
Amanita excelsa
Amanita farinosa
Amanita fulva
Amanita gemmata
Amanita muscaria
Amanita novinupta
Amanita pachycolea
Amanita pantherina
Amanita pantherinoides
Amanita phalloides
Amanita porphyria
Amanita rubescens
Amanita silvicola
Amanita smithiana
Amanita vaginata
Amanita velosa
Amara aenea
Amara alpina
Amara angustata
Amara anthobia
Amara apricarius
Amara aurata
Amara avida
Amara blanchardi
Amara californica
Amara carinatus
Amara coelebs
Amara conflata
Amara confusa
Amara convexa
Amara cupreolata
Amara discors
Amara ellipsis
Amara emancipata
Amara erraticus
Amara exlineae
Amara familiaris
Amara farcta
Amara gibba
Amara glacialis
Amara hyperborea
Amara idahoana
Amara lacustris
Amara laevipennis
Amara latior
Amara littoralis
Amara longula
Amara lunicollis
Amara merula
Amara musculis
Amara obesa
Amara ovata
Amara pallipes
Amara patruelis
Amara pseudobrunnea
Amara quenseli
Amara rugulifera
Amara sanjuanensis
Amara scitula
Amara sinuosa
Amara spuria
Amara tenax
Amara thoracica
Amara torrida
Amara transberingiensis
Amaradix euphorbi
Amaranthus albus
Amaranthus blitoides
Amaranthus blitum
Amaranthus cruentus
Amaranthus hypochondriacus
Amaranthus powellii
Amaranthus retroflexus
Amaurobius borealis
Amaurodon mustialaensis
Amaurodon viridis
Ambesa laetella
Ambesa walsinghami
Amblopusa brevipes
Amblyderus obesus
Amblyderus owyhee
Amblyderus pallens
Amblyodon dealbatus
Amblyomma americanum
Amblyptilia pica
Amblyraja badia
Amblyscirtes vialis
Amblystegium serpens
Ambrosia artemisiifolia
Ambrosia chamissonis
Ambystoma gracile
Ambystoma macrodactylum
Ambystoma mavortium
Ameiurus melas
Ameiurus nebulosus
Amelanchier alnifolia
Amelanchier cusickii
Amelanchier lamarckii
Ameletus celer
Ameletus cooki
Ameletus oregonensis
Ameletus pritchardi
Ameletus shepherdi
Ameletus similior
Ameletus sparsatus
Ameletus subnotatus
Ameletus suffusus
Ameletus validus
Ameletus vancouverensis
Ameletus velox
Ameletus vernalis
Ameliella andreaeicola
Amerizus oblonguloides
Amerizus oblongulus
Amerizus spectabilis
Ametor latus
Ametor scabrosus
Amiocentrus aspilus
Ammannia robusta
Ammodramus savannarum
Ammodytes hexapterus
Ammophila arenaria
Ammophila breviligulata
Ammospiza leconteii
Ammospiza nelsoni
Amorbia cuneana
Amorbia humerosana
Amorophaga cryptophori
Ampedus anthracinus
Ampedus apicatus
Ampedus atripennis
Ampedus behrensi
Ampedus brevis
Ampedus deletus
Ampedus dimidiatus
Ampedus laurentinus
Ampedus melinus
Ampedus moerens
Ampedus nigrinus
Ampedus occidentalis
Ampedus phelpsi
Ampedus phoenicopterus
Ampedus pullus
Ampedus quebecensis
Ampedus rhodopus
Ampedus varipilis
Amperima naresi
Amphalius necopinus
Amphiagrion abbreviatum
Amphichroum floribundum
Amphichroum maculatum
Amphicosmoecus canax
Amphidium californicum
Amphidium lapponicum
Amphidium mougeotii
Amphilectus digitatus
Amphilectus laxus
Amphimedon trindanea
Amphinema byssoides
Amphinemura linda
Amphipoea americana
Amphipoea interoceanica
Amphipsylla sibirica
Amphipyra glabella
Amphipyra pyramidoides
Amphipyra tragopoginis
Amphiscirpus nevadensis
Amphispiza bilineata
Amphistereum leveilleanum
Amphistichus rhodoterus
Amphitornus coloradus
Amphivectura monticola
Amphizoa insolens
Amphizoa lecontei
Amphizoa striata
Ampulloclitocybe avellaneialba
Ampulloclitocybe clavipes
Amsinckia intermedia
Amsinckia lycopsoides
Amsinckia menziesii
Amsinckia spectabilis
Amydria curvistrigella
Amygdalaria consentiens
Amygdalaria continua
Amygdalaria elegantior
Amygdalaria haidensis
Amygdalaria panaeola
Amygdalaria pelobotryon
Amygdalaria subdissentiens
Amyloathelia amylacea
Amylobasidium tsugae
Amylocorticium cebennense
Amylocorticium subincarnatum
Amylocorticium subsulphureum
Amylocystis lapponica
Amyloporia sinuosa
Amylostereum chailletii
Amyloxenasma rallum
Anabolia bimaculata
Anabrus longipes
Anabrus simplex
Anacaena limbata
Anacaena lutescens
Anacampsis conclusella
Anacampsis fragariella
Anacampsis innocuella
Anacampsis niveopulvella
Anacolia menziesii
Anagapetus bernea
Anagapetus debilis
Anagapetus hoodi
Anagrapha falcifera
Anambodera gemina
Anametis granulata
Anania funebris
Anania mysippusalis
Anania tertialis
Anaphalis margaritacea
Anaplectoides prasina
Anaplectoides pressus
Anaptychia crinalis
Anaptychia elbursiana
Anaptychia ulotrichoides
Anarrhichthys ocellatus
Anarsia lineatella
Anarta columbica
Anarta crotchii
Anarta decepta
Anarta edwardsii
Anarta farnhami
Anarta hamata
Anarta inconcinna
Anarta mutata
Anarta nigrolunata
Anarta oregonica
Anarta trifolii
Anas acuta
Anas crecca
Anas platyrhynchos
Anas rubripes
Anaspis atrata
Anaspis duryi
Anaspis flavipennis
Anaspis nigrina
Anaspis rayi
Anaspis rufa
Anaspis seposita
Anaspis sericea
Anastoechus barbatus
Anastrangalia laetifica
Anastrangalia sanguinea
Anastrepta orcadensis
Anastrophyllum assimile
Anastrophyllum donnianum
Anastrophyllum michauxii
Anathix aggressa
Anathix puta
Anatis lecontei
Anatis mali
Anatis rathvoni
Anatralata versicolor
Anavitrinella addendaria
Anavitrinella pampinaria
Anax junius
Anaxyrus boreas
Anchastus anthrax
Anchastus cinereipennis
Anchomenus aeneolus
Anchomenus quadratus
Anchusa arvensis
Anchusa azurea
Anchusa officinalis
Ancistrocerus adiabatus
Ancistrocerus albolacteus
Ancistrocerus albophaleratus
Ancistrocerus antilope
Ancistrocerus catskill
Ancistrocerus lineativentris
Ancistrocerus spilogaster
Ancistrocerus tuberculocephalus
Ancistrocerus waldenii
Ancotrema hybridum
Ancotrema sportella
Ancylis apicana
Ancylis burgessiana
Ancylis columbiana
Ancylis comptana
Ancylis diminuatana
Ancylis discigerana
Ancylis laciniana
Ancylis mediofasciana
Ancylis metamelana
Ancylis mira
Ancylis nubeculana
Ancylis pacificana
Ancylis semiovana
Ancylis simuloides
Ancylis subaequana
Ancylis tenebrica
Ancylis tineana
Ancylis unguicella
Andersonglossum boreale
Andreaea alpestris
Andreaea blyttii
Andreaea heinemannii
Andreaea megistospora
Andreaea mutabilis
Andreaea nivalis
Andreaea obovata
Andreaea rothii
Andreaea rupestris
Andreaea schofieldiana
Andreaea sinuosa
Andreaeobryum macrosporum
Andrena aculeata
Andrena amphibola
Andrena andrenoides
Andrena angustifovea
Andrena angustitarsata
Andrena astragali
Andrena auricoma
Andrena barbilabris
Andrena berberidis
Andrena buckelli
Andrena caerulea
Andrena canadensis
Andrena candida
Andrena candidiformis
Andrena ceanothifloris
Andrena cerasifolii
Andrena chapmanae
Andrena chlorogaster
Andrena chlorura
Andrena clarkella
Andrena cleodora
Andrena columbiana
Andrena commoda
Andrena concinnula
Andrena costillensis
Andrena crataegi
Andrena cressonii
Andrena cristata
Andrena cuneilabris
Andrena cupreotincta
Andrena cyanophila
Andrena edwardsi
Andrena erythrogaster
Andrena evoluta
Andrena excellens
Andrena forbesii
Andrena frigida
Andrena fulvicrista
Andrena fuscicauda
Andrena gibberis
Andrena hemileuca
Andrena hippotes
Andrena knuthiana
Andrena laminibucca
Andrena lawrencei
Andrena lillooetensis
Andrena lupinorum
Andrena macoupinensis
Andrena mariae
Andrena medionitens
Andrena melanochroa
Andrena merriami
Andrena microchlora
Andrena miranda
Andrena misella
Andrena miserabilis
Andrena montrosensis
Andrena nevadensis
Andrena nigrihirta
Andrena nigrocaerulea
Andrena nivalis
Andrena nothocalaidis
Andrena nubecula
Andrena pallidifovea
Andrena perarmata
Andrena perplexa
Andrena pertristis
Andrena piperi
Andrena porterae
Andrena prunorum
Andrena quintiliformis
Andrena regularis
Andrena revelstokensis
Andrena rufosignata
Andrena runcinatae
Andrena saccata
Andrena salicifloris
Andrena salictaria
Andrena schuhi
Andrena scurra
Andrena scutellinitens
Andrena segregans
Andrena sigmundi
Andrena singularis
Andrena sladeni
Andrena sola
Andrena striatifrons
Andrena subaustralis
Andrena subtilis
Andrena subtrita
Andrena surda
Andrena thaspii
Andrena topazana
Andrena transnigra
Andrena trevoris
Andrena tridens
Andrena trizonata
Andrena vicina
Andrena vicinoides
Andrena vierecki
Andrena w-scripta
Andrena walleyi
Andrena washingtoni
Andrena wheeleri
Andrenosoma fulvicaudum
Androloma maccullochii
Andromeda polifolia
Andropolia aedon
Andropolia contacta
Andropolia diversilineata
Andropolia theodori
Androsace chamaejasme
Androsace occidentalis
Androsace septentrionalis
Aneides vagrans
Anelastes drurii
Anelpistus canadensis
Anemonastrum canadense
Anemonastrum richardsonii
Anemonastrum sibiricum
Anemonastrum villosissimum
Anemone cylindrica
Anemone drummondii
Anemone lyallii
Anemone multifida
Anemone nemorosa
Anemone occidentalis
Anemone parviflora
Anemone piperi
Anemone virginiana
Anethum graveolens
Aneura pinguis
Angelica arguta
Angelica dawsonii
Angelica genuflexa
Angelica lucida
Anguispira kochi
Anhimella contrahens
Anhimella pacifica
Anhimella perbrunnea
Anicla exuberans
Anicla tepperi
Anisandrus dispar
Anisocarpus madioides
Anisodactylus alternans
Anisodactylus amaroides
Anisodactylus binotatus
Anisodactylus californicus
Anisodactylus harrisii
Anisodactylus kirbyi
Anisodactylus nigrita
Anisodactylus rudis
Anisodactylus sanctaecrucis
Anisodactylus similis
Anisogramma anomala
Anisomeridium biforme
Anisomeridium polypori
Anisostena californica
Anisostena nigrita
Anisosticta bitriangularis
Anisotoma amica
Anisotoma confusa
Anisotoma discolor
Anisotoma errans
Anisotoma globososa
Anisotoma humeralis
Anisotoma nevadensis
Annaphila arvalis
Annaphila danistica
Annaphila decia
Annaphila diva
Annettenia eremonoma
Annulohypoxylon thouarsianum
Anobium punctatum
Anodonta californiensis/nuttalliana
Anodonta kennerlyi/oregonensis
Anoectangium aestivum
Anoectangium sikkimense
Anoectangium stracheyanum
Anogdus fusciclavus
Anogdus insolitus
Anomobryum concinnatum
Anomobryum julaceum
Anomoloma albolutescens
Anomoloma myceliosum
Anomoporia bombycina
Anopheles earlei
Anopheles freeborni
Anopheles punctipennis
Anopina arizonana
Anopina ednana
Anoplagonus inermis
Anoplarchus insignis
Anoplarchus purpurescens
Anoplogaster cornuta
Anoplopoma fimbria
Anostirus bipunctatus
Anotopterus nikparini
Anotylus niger
Anotylus nitidulus
Anotylus rugosus
Anotylus sobrinus
Anotylus tetracarinatus
Anser albifrons
Anser caerulescens
Anser canagicus
Anser rossii
Anstenoptilia marmarodactyla
Antaeotricha manzanitae
Antennaria anaphaloides
Antennaria dimorpha
Antennaria flagellaris
Antennaria howellii
Antennaria lanata
