code,description,conc_conversion_flag,conc_conversion_value_multiplier,conc_conversion_unit
% sat,percent saturation,FALSE,NA,NA
% soil,percent soil,FALSE,NA,NA
% soln,percent solution,FALSE,NA,NA
% sperm,percent sperm,FALSE,NA,NA
% tolerance,percent tolerance,FALSE,NA,NA
% total dose,percent total dose,FALSE,NA,NA
% total oil,percent of total oil content,FALSE,NA,NA
% v/v,percent volume per volume,FALSE,NA,NA
% v/v diet,percent volume per volume diet,FALSE,NA,NA
% v/v in 100% O2,percent volume per volume in 100% oxygen,FALSE,NA,NA
% v/w,percent volume per weight,FALSE,NA,NA
% vol,percent volume,FALSE,NA,NA
% w/v,percent weight per volume,FALSE,NA,NA
% w/w,percent weight per weight,FALSE,NA,NA
% w/w diet,percent weight per wieght diet,FALSE,NA,NA
% wet wght,percent wet weight,FALSE,NA,NA
% wght,percent of weight,FALSE,NA,NA
% wght/org,percent weight per organism,FALSE,NA,NA
%/d,percent per day,FALSE,NA,NA
%/g,percent per gram,FALSE,NA,NA
%/g TI,percent per gram tissue,FALSE,NA,NA
%/min,percent per minute,FALSE,NA,NA
%/ml,percent per milliliter,FALSE,NA,NA
%/org/d,percent per organism per day,FALSE,NA,NA
%/wk,percent per week,FALSE,NA,NA
%FM,percent female,FALSE,NA,NA
%ML,percent male,FALSE,NA,NA
%NaCl,percent sodium chloride,FALSE,NA,NA
%RBC,percent red blood cells,FALSE,NA,NA
%succ br/fm,percent successful broods per female,FALSE,NA,NA
--,Unspecified,FALSE,NA,NA
0/00 diet,parts per thousand diet,FALSE,NA,NA
0/00 v/v,parts per thousand volume per volume,FALSE,NA,NA
1 mg/10 ml,1 milligram per 10 milliliters,FALSE,NA,NA
10x6/ul,10x6 microliters,FALSE,NA,NA
1e+1 kg,1 X 10 +1 kilograms,FALSE,NA,NA
1e+1 ug/g,1 X 10 +1 micrograms per gram,FALSE,NA,NA
1e+12 no/L,1 X 10 +12 number/l,FALSE,NA,NA
1e+12/l,1 X 10 +12/liter,FALSE,NA,NA
1e+2 cal/g,1 X 10 +2 calories per gram,FALSE,NA,NA
1e+2 mm,1 X 10 +2 millimeters,FALSE,NA,NA
1e+2 no/mm2,1 X 10 +2 per square millimeter,FALSE,NA,NA
1e+2 no/mm3,1 X 10 +2 per cubic millimeter,FALSE,NA,NA
1e+2 ug/g,1 X 10 +2 micrograms per gram,FALSE,NA,NA
1e+3 RA,1 X 10 +3 ratio,FALSE,NA,NA
1e+3 RNA/TCA/DNA,1 X 10 +3 (counts per minute RNA per milligram TCA) per milligra,FALSE,NA,NA
1e+3 cell/mg TI,1 X 10 +3 cells per milligram tissue,FALSE,NA,NA
1e+3 cells,1 X 10 +3 cells,FALSE,NA,NA
1e+3 cells/mm3,1 X 10 +3 cells per cubic millimeter,FALSE,NA,NA
1e+3 cells/ul,1 X 10 +3 cells per microliter,FALSE,NA,NA
1e+3 cm,1 X 10 +3 number per centimeter,FALSE,NA,NA
1e+3 cm/d,1 X 10 +3 centimeters per day,FALSE,NA,NA
1e+3 counts,1 X 10 +3 counts,FALSE,NA,NA
1e+3 cpm,1 X 10 +3 counts per minute,FALSE,NA,NA
1e+3 dpm/TI,1 X 10 +3 disintegrations per minute per tissue,FALSE,NA,NA
1e+3 dpm/g org,1 X 10 +3 disintegrations per minute per gram of organism,FALSE,NA,NA
1e+3 dpm/mg DNA,1 x 10+3 disintegrations per minute per milligram DNA,FALSE,NA,NA
1e+3 dpm/mg RNA,1 x 10+3 disintegrations per minute per milligram RNA,FALSE,NA,NA
1e+3 dpm/ml,1 X 10 +3 disintegrations per minute per milliliter,FALSE,NA,NA
1e+3 dpm/org,1 X 10 +3/disintegrations per minute per organism,FALSE,NA,NA
1e+3 ng,1 X 10 +3 nanograms,FALSE,NA,NA
1e+3 ng/g,1 X 10 +3 nanograms per gram,FALSE,NA,NA
1e+3 no,1 X 10 +3 number,FALSE,NA,NA
1e+3 no/cm,1 X 10 +3 number per centimeter,FALSE,NA,NA
1e+3 no/cm3,1 X 10 +3 number per cubic centimeter,FALSE,NA,NA
1e+3 no/g TI,1 X 10 +3 number per gram tissue,FALSE,NA,NA
1e+3 no/mg SP,1 X 10 +3 number per milligram spleen,FALSE,NA,NA
1e+3 no/ul,1 X 10 +3 no/microliter,FALSE,NA,NA
1e+3 org/acre,1 X 10+3 organisms per acre,FALSE,NA,NA
1e+3 sigma u/g,1 X 10+3 sigma units per gram,FALSE,NA,NA
1e+3 um2,1 X 10 +3 square micrometers,FALSE,NA,NA
1e+3/ml,1 X 10 +3/milliliter,FALSE,NA,NA
1e+3/mm3,1 X 10 +3/cubic millimeter,FALSE,NA,NA
1e+3/ul,1 X 10 +3/microliter,FALSE,NA,NA
1e+4 IU/TI,1 X 10 +4 International units per tissue,FALSE,NA,NA
1e+4 IU/g,1 X 10 +4 International units per gram,FALSE,NA,NA
1e+4 no/mg TI,1 X 10 +4 number per gram tissue,FALSE,NA,NA
1e+4 no/ml,1 X 10 +4 number per milliliter,FALSE,NA,NA
1e+4 no/mm2,1 X 10 +4 per square millimeter,FALSE,NA,NA
1e+4 no/mm3,1 X 10 +4 per cubic millimeter,FALSE,NA,NA
1e+4 ug/TI,1 X 10+4 micrograms per tissue,FALSE,NA,NA
1e+4 ug/g,1 X 10+4 micrograms per gram,FALSE,NA,NA
1e+4/mm,1 x 10+4 per millimeter,FALSE,NA,NA
1e+4/mm3,1 x 10+4 per cubic millimeter,FALSE,NA,NA
1e+5 no,1 X 10 +5 number,FALSE,NA,NA
1e+5 no/g TI,1 X 10 +5 number per gram tissue,FALSE,NA,NA
1e+6 cells,1 X 10 +6 cells,FALSE,NA,NA
1e+6 cells/mm3,1 X 10 +6 cells per cubic millimeter,FALSE,NA,NA
1e+6 cm,1 X 10 +6 centimeters,FALSE,NA,NA
1e+6 cpm,1 X 10 +6 counts per minute,FALSE,NA,NA
1e+6 cpm/g TI,1 X 10 +6 counts per minute per gram tissue,FALSE,NA,NA
1e+6 mm3,1 X 10 +6 per cubic millimeter,FALSE,NA,NA
1e+6 no,1 X 10 +6 number,FALSE,NA,NA
1e+6 no/cm3,1 X 10 +6 number per cubic centimeter,FALSE,NA,NA
1e+6 no/g,1 X 10 +6 number per gram,FALSE,NA,NA
1e+6 no/g TI,1 X 10 +6 number per gram tissue,FALSE,NA,NA
1e+6 no/mg TI,1 X 10 +6 number per milligram tissue,FALSE,NA,NA
1e+6 no/ml,1 X 10 +6 number per milliliter,FALSE,NA,NA
1e+6 no/mm3,1 X 10 +6 number per cubic millimeter,FALSE,NA,NA
1e+6 no/org,1 X 10+6 number per organism,FALSE,NA,NA
1e+6 no/ul,1 X 10 +6 number per microliter,FALSE,NA,NA
1e+6/cm3,1 X 10 +6/cubic centimeter,FALSE,NA,NA
1e+6/ml,1 X 10 +6/milliliter,FALSE,NA,NA
1e+6/mm3,1 X 10 +6/cubic millimeter,FALSE,NA,NA
1e+6/ul,1 X 10 +6/microliter,FALSE,NA,NA
1e+7 cells,1 X 10+7 cells,FALSE,NA,NA
1e+7/ml sperm,1 X 10+7 cells per milliliter sperm,FALSE,NA,NA
1e+8 no,1 X 10 +8 number,FALSE,NA,NA
1e+8/mm3,1 X 10 +8 per cubic millimeter,FALSE,NA,NA
1e+9 no,1 X 10 +9 number,FALSE,NA,NA
1e+9 no/l,1 X 10 +9 number per liter,FALSE,NA,NA
1e+9 no/ml,1 X 10 +9 number per milliliter,FALSE,NA,NA
1e-1 mg,1 X 10 -1 milligrams,FALSE,NA,NA
1e-1 mg/mg/d,1 X 10 -1 milligrams per milligrams per day,FALSE,NA,NA
1e-1 ug,1 X 10 -1 micrograms,FALSE,NA,NA
1e-2 J/beat/kg,1 x 10 -2 Joules per beat per kilogram,FALSE,NA,NA
1e-2 Nm,1 X 10-2 nanometers,FALSE,NA,NA
1e-2 g/l,1 X 10 -2 grams per liter,FALSE,NA,NA
1e-2 mM,1 X 10 -2 millimolar,FALSE,NA,NA
1e-2 mg,1 X 10 -2 milligrams,FALSE,NA,NA
1e-2 mm,1 X 10 -2 millimeters,FALSE,NA,NA
1e-2 no/ul,1 X 10 -2 number per microliter,FALSE,NA,NA
1e-2 ug/g,1 X 10 -2 micrograms per gram,FALSE,NA,NA
1e-2 umol Hg/g,1 X 10 -2 micromoles hemaglobin bound per g tissue,FALSE,NA,NA
1e-2 umol/g TI,1 X 10 -2 micromoles per gram tissue,FALSE,NA,NA
1e-3 *dyn*s*cm-5,1 X 10 -3 X dynes X seconds per centimeters to the fifth power,FALSE,NA,NA
1e-3 RA,1 X 10 -3 ratio,FALSE,NA,NA
1e-3 cm/d,1 X 10 -3 centimeters per day,FALSE,NA,NA
1e-3 cpm,1 X 10 -3 counts per minute,FALSE,NA,NA
1e-3 g/l,1 X 10-3 grams per liter,FALSE,NA,NA
1e-3 g/ml,1 X 10 -3 grams per milliliter,FALSE,NA,NA
1e-3 mg,1 X 10 -3 milligrams,FALSE,NA,NA
1e-3 mg/mg/d,1 X 10 -3 milligrams per milligrams per day,FALSE,NA,NA
1e-4 dpm/g,1 x 10-4 disintegrations per minute per gram,FALSE,NA,NA
1e-4 dpm/mg Pi,1 x 10-4 disintegrations per minute per milligram Pi,FALSE,NA,NA
1e-4 g/l,1 X 10 -4 grams per liter,FALSE,NA,NA
1e-4 g/ml,1 X 10 -4 grams per milliliter,FALSE,NA,NA
1e-4 in,1 X 10 -4 inches,FALSE,NA,NA
1e-4 mM,1 X 10 -4 millimolar,FALSE,NA,NA
1e-4 mg,1 X 10 -4 milligrams,FALSE,NA,NA
1e-4 mg/cm3,1 X 10 -4 milligrams per cubic centimeter,FALSE,NA,NA
1e-4 no,1 X 10 -4 number,FALSE,NA,NA
1e-4 uM,1 X 10 -4 micromolar,FALSE,NA,NA
1e-4/0.5 ml,1 X 10 -4 milligrams per 0.5 milliliters,FALSE,NA,NA
1e-5 g/l,1 X 10 -5 grams per milliliter,FALSE,NA,NA
1e-5 mM,1 X 10 -5 millimolar,FALSE,NA,NA
1e-5 mg,1 X 10 -5 milligrams,FALSE,NA,NA
1e-5 mg/10 ml,1 X 10 -5 milligrams per 10 milliliters,FALSE,NA,NA
1e-5/mm3,1 X 10 -5/cubic millimeter,FALSE,NA,NA
1e-6 g/l,1 X 10 -6 grams per liter,FALSE,NA,NA
1e-6 mol/mi/gTI,1 X 10 -6 moles per minute per gram tissue,FALSE,NA,NA
1e-7 mg/10 ml,1 X 10 -7 milligrams per 10 milliliter,FALSE,NA,NA
1e-9/l,1 X 10 -9/liter,FALSE,NA,NA
25 mg/40 l,25 milligrams per 40 liters,FALSE,NA,NA
AE,Acid equivalent,FALSE,NA,NA
AI,active ingredient,FALSE,NA,NA
AI %,Active Ingredient percent,FALSE,NA,NA
AI % bt,active ingredient percent bait,FALSE,NA,NA
AI % diet,active ingredient percent diet,FALSE,NA,NA
AI % v/v,active ingredient percent volume per volume,FALSE,NA,NA
AI % w/v,active ingredient percent weight per volume,FALSE,NA,NA
AI % w/w,active ingredient percent weight per weight,FALSE,NA,NA
AI % w/w bt,active ingredient percent weight per weight bait,FALSE,NA,NA
AI %/100 kg sd,active ingredient percent per 100 kilograms seed,FALSE,NA,NA
AI %/786 L,active ingredient percent per 786 liters,FALSE,NA,NA
AI %/L,active ingredient percent per L,FALSE,NA,NA
AI %/ha,active ingredient percent per hectare,FALSE,NA,NA
AI %/wt sd,Active ingredient percent per weight seed,FALSE,NA,NA
AI 0/00,active ingredient parts per thousand,FALSE,NA,NA
AI 4.7 L/42.1 L/ha,active ingredient 4.7 liters per 42.1 liters per hectare,FALSE,NA,NA
AI L/16 L H2O/243 m2,active ingredient liters per 16 liters water per 243 meters squared,FALSE,NA,NA
AI L/42.1 L/ha,active ingredient liters per 42.1 liters per hectare,FALSE,NA,NA
AI L/eu,active ingredient liters per experimental unit,FALSE,NA,NA
AI L/feddan,active ingredient liters per feddan,FALSE,NA,NA
AI L/ha,active ingredient liters per hectare,FALSE,NA,NA
AI L/ha/m,active ingredient liters per hectare per meter,FALSE,NA,NA
AI M,active ingredient molar,FALSE,NA,NA
AI cm3/eu,active ingredient cubic centimeters per experimental unit,FALSE,NA,NA
AI cm3/kg,active ingredient cubic centimeters per kilogram,FALSE,NA,NA
AI fl oz/acre,active ingredient fluid ounces per acre,FALSE,NA,NA
AI g,active ingredient grams,FALSE,NA,NA
AI g bt,active ingredient grams bait,FALSE,NA,NA
AI g/0.4 ha,active ingredient grams per 0.4 hectare,FALSE,NA,NA
AI g/0.405 ha,active ingredient grams per 0.405 hectare,FALSE,NA,NA
AI g/10 L,active ingredient grams per 10 liters,FALSE,NA,NA
AI g/10 acres,active ingredient grams per 10 acres,FALSE,NA,NA
AI g/10 kg sd,Active ingredient gram per 10 kilograms seed,FALSE,NA,NA
AI g/10 m,active ingredient grams per 10 meter,FALSE,NA,NA
AI g/100 L,active ingredient grams per 100 liters,FALSE,NA,NA
AI g/100 g bt,active ingredient grams per 100 grams bait,FALSE,NA,NA
AI g/100 g sd,active ingredient grams per 100 grams of seed,FALSE,NA,NA
AI g/100 gal,active ingredient grams per 100 gallons,FALSE,NA,NA
AI g/100 kg,active ingredient grams per 100 kilograms,FALSE,NA,NA
AI g/100 kg sd,Active ingredient gram per 100 kilograms seed,FALSE,NA,NA
AI g/100 m,active ingredient grams per 100 meters,FALSE,NA,NA
AI g/100 m2,active ingredient grams per 100 square meters,FALSE,NA,NA
AI g/100 ml,active ingredient grams per 100 milliliters,FALSE,NA,NA
AI g/1000 L,active ingredient grams per 1000 liters,FALSE,NA,NA
AI g/100000 sd,active ingredient grams per 100000 seed,FALSE,NA,NA
AI g/1100 L,active ingredient grams per 1100 liters,FALSE,NA,NA
AI g/2 L/ha,active ingredient grams per 2 liter per hectare,FALSE,NA,NA
AI g/2.24 L/ha,active ingredient grams per 2.24 liters per hectare,FALSE,NA,NA
AI g/2.5 cm dbh,Active ingredient grams per 2.5 centimeter of diameter at breast height,FALSE,NA,NA
AI g/2.54 cm dbh,active ingredient grams per 2.54 centimeter of diameter at breast height,FALSE,NA,NA
AI g/2.54 cm tkdi,active ingredient grams per 2.54 centimeters trunk diameter,FALSE,NA,NA
AI g/200 L,active ingredient grams per 200 liters,FALSE,NA,NA
AI g/2000 cm3 soil,active ingredient grams per 2000 cubic centimeters soil,FALSE,NA,NA
AI g/25 ml/m,active ingredient grams per 25 milliliters per meter,FALSE,NA,NA
AI g/3 ml/m,active ingredient grams per 3 milliliters per meter,FALSE,NA,NA
AI g/30.5 cm ht,Active ingredient grams per 30.5 centimeters plant height,FALSE,NA,NA
AI g/300 L,active ingredient grams per 300 liters,FALSE,NA,NA
AI g/304.8 m,active ingredient grams per 304.8 meters,FALSE,NA,NA
AI g/305 m,active ingredient grams per 305 meters,FALSE,NA,NA
AI g/378 L,active ingredient grams per 378 liters,FALSE,NA,NA
AI g/378.5 L,active ingredient grams per 378.5 liters,FALSE,NA,NA
AI g/379 L,active ingredient grams per 379 liters,FALSE,NA,NA
AI g/400 m2,active ingredient grams per 400 square meters,FALSE,NA,NA
AI g/454.6 L/0.4 ha,active ingredient grams per 454.6 liters per 0.4 hectares,FALSE,NA,NA
AI g/500 g,active ingredient grams per 500 grams,FALSE,NA,NA
AI g/500 g soil,active ingredient grams per 500 grams soil,FALSE,NA,NA
AI g/6 L,active ingredient grams per 6 liters,FALSE,NA,NA
AI g/60000 sd,active ingredient grams per 60000 seeds,FALSE,NA,NA
AI g/93 m2,active ingredient grams per 93 square meters,FALSE,NA,NA
AI g/L diet,Active ingredient grams per liter diet,FALSE,NA,NA
AI g/L soil,active ingredient grams per liter soil,FALSE,NA,NA
AI g/acre,active ingredient grams per acre,FALSE,NA,NA
AI g/bushel,active ingredient grams per bushel,FALSE,NA,NA
AI g/cm,active ingredient grams per centimeter,FALSE,NA,NA
AI g/cm caliper,active ingredient grams per centimeter caliper,FALSE,NA,NA
AI g/cm of dbh,active ingredient grams per centimeter of diameter breast height,FALSE,NA,NA
AI g/cm2,active ingredient grams per square centimeter,FALSE,NA,NA
AI g/dm3,active ingredient grams per cubic decimeter,FALSE,NA,NA
AI g/dn(Cyprus),"Active Ingredient grams per dunam, dunum or donum (Cyprus1338m2)",FALSE,NA,NA
AI g/dn(Iraq),"Active Ingredient grams per dunam, dunum or donum (Iraq 2500m2)",FALSE,NA,NA
AI g/dn(Std),"Active Ingredient grams per dunam, dunum or donum (Std 1000m2)",FALSE,NA,NA
AI g/eu,active ingredient grams per experimental unit,FALSE,NA,NA
AI g/feddan,active ingredient grams per feddan,FALSE,NA,NA
AI g/ft org,active ingredient grams per foot of organism,FALSE,NA,NA
AI g/g dry soil,active ingredient grams per gram dry soil,FALSE,NA,NA
AI g/ha,active ingredient grams per hectare,FALSE,NA,NA
AI g/hl,active ingredient grams per hectoliter,FALSE,NA,NA
AI g/hm2,active ingredient grams per square hectometer,FALSE,NA,NA
AI g/in dia,active ingredient grams per inch diameter,FALSE,NA,NA
AI g/kg,active ingredient grams per kilogram,FALSE,NA,NA
AI g/kg bdwt,active ingredient grams per kilogram body weight,FALSE,NA,NA
AI g/kg diet,active ingredient grams per kilogram diet,FALSE,NA,NA
AI g/kg plt,active ingredient grams per kilogram pellet,FALSE,NA,NA
AI g/kg soil,active ingredient grams per kilogram soil,FALSE,NA,NA
AI g/m,active ingredient grams per meter,FALSE,NA,NA
AI g/m2,active ingredient grams per sq m,FALSE,NA,NA
AI g/m2 canopy,active ingredient grams per square meter canopy,FALSE,NA,NA
AI g/m3,active ingredient grams per cubic meter,FALSE,NA,NA
AI g/ml,active ingredient grams per milliliter,FALSE,NA,NA
AI g/org,active ingredient grams per organism,FALSE,NA,NA
AI g/t,active ingredient grams per ton,FALSE,NA,NA
AI g/ton sd,active ingredient grams per ton seed,FALSE,NA,NA
AI g/unit,active ingredient grams per unit,FALSE,NA,NA
AI gal/100 gal/acre,active ingredient gallons per 100 gallons per acre,FALSE,NA,NA
AI gal/acre,active ingredient gallons per acre,FALSE,NA,NA
AI kg,active ingredient kilograms,FALSE,NA,NA
AI kg/0.4 ha,active ingredient kilograms per 0.4 hectares,FALSE,NA,NA
AI kg/100 L,active ingredient kilograms per 100 liters,FALSE,NA,NA
AI kg/100 kg sd,active ingredient kilograms per 100 kilograms seed,FALSE,NA,NA
AI kg/1000 m,active ingredient kilograms per 1000 meters,FALSE,NA,NA
AI kg/1122 L/ha,active ingredient kilograms per 1122 liters per hectare,FALSE,NA,NA
AI kg/227.3 l/0.4 ha,active ingredient kilograms per 227.3 liters per 0.4 hectares,FALSE,NA,NA
AI kg/2338 L/ha,active ingredient kilograms per 2338 liters per hectare,FALSE,NA,NA
AI kg/25 L/ha,active ingredient kilograms per 25 liters per hectare,FALSE,NA,NA
AI kg/3.74 L/ha,active ingredient kilograms per 3.74 liters per hectare,FALSE,NA,NA
AI kg/3741 L/ha,active ingredient kilograms per 3741 liters per hectare,FALSE,NA,NA
AI kg/378 L,active ingredient kilograms per 378 liters,FALSE,NA,NA
AI kg/378.5 L,active ingredient kilograms per 378.5 liters,FALSE,NA,NA
AI kg/93.5 L,active ingredient kilograms per 93.5 liters,FALSE,NA,NA
AI kg/L,active ingredient kilograms per liter,FALSE,NA,NA
AI kg/acre,active ingredient kilograms per acre,FALSE,NA,NA
AI kg/eu,active ingredient kilograms per experimental unit,FALSE,NA,NA
AI kg/feddan,"active ingredient kilograms per feddan, or faddan (1 feddan = 1.038 acres)",FALSE,NA,NA
AI kg/ha,active ingredient kilograms per hectare,FALSE,NA,NA
AI kg/ha soil,active ingredient kilograms per hectare soil,FALSE,NA,NA
AI lb/10 gal,active ingredient pounds per 10 gallons,FALSE,NA,NA
AI lb/100 ft2,active ingredient pounds per 100 square feet,FALSE,NA,NA
AI lb/100 gal,active ingredient pounds per 100 gallons,FALSE,NA,NA
AI lb/100 gal/acre,active ingredient pounds per 100 gallons per acre,FALSE,NA,NA
AI lb/11 gal/acre,Active Ingredient pounds per 11 gallons per acre,FALSE,NA,NA
AI lb/acre,active ingredient pounds per acre,FALSE,NA,NA
AI lb/cwt sd,active ingredient pounds per hundred weight seed,FALSE,NA,NA
AI lb/eu,active ingredient pounds per experimental unit,FALSE,NA,NA
AI lb/ga,active ingredient pounds per gallon,FALSE,NA,NA
AI lb/gal/acre,active ingredient pounds per gallon per acre,FALSE,NA,NA
AI mL/eu,active ingredient milliliter per experimental unit,FALSE,NA,NA
AI mL/hl,active ingredient milliliters per hectoliter,FALSE,NA,NA
AI mM,active ingredient milliMolar,FALSE,NA,NA
AI mg,active ingredient milligrams,FALSE,NA,NA
AI mg bt,active ingredient milligrams bait,FALSE,NA,NA
AI mg/0.1 m2,active ingredient milligrams per 0.1 square meters,FALSE,NA,NA
AI mg/100 cm3,active ingredient milligrams per 100 cubic centimeters,FALSE,NA,NA
AI mg/100 kg,active ingredient milligrams per 100 kilograms,FALSE,NA,NA
AI mg/1800 g,active ingredient milligrams per 1800 grams,FALSE,NA,NA
AI mg/2 L diet,active ingredient milligrams per 2 liters diet,FALSE,NA,NA
AI mg/2.5 g,active ingredient milligrams per 2.5 grams,FALSE,NA,NA
AI mg/250 ml soil,active ingredient milligrams per 250 milliliters soil,FALSE,NA,NA
AI mg/300 ml,active ingredient milligrams per 300 millilters,FALSE,NA,NA
AI mg/4.41 m2,active ingredient milligrams per 4.41 square meters,FALSE,NA,NA
AI mg/50 ml H2O,active ingredient milligrams per 50 milliliters water,FALSE,NA,NA
AI mg/60000 sd,active ingredient milligrams per 60000 seeds,FALSE,NA,NA
AI mg/L diet,active ingredient milligrams per liter diet,FALSE,NA,NA
AI mg/cm2,active ingredient milligrams per square centimeter,FALSE,NA,NA
AI mg/cm3,active ingredient milligrams per cubic centimeter,FALSE,NA,NA
AI mg/d,active ingredient milligrams per day,FALSE,NA,NA
AI mg/eu,active ingredient milligrams per experimental unit,FALSE,NA,NA
AI mg/g,active ingredient milligrams per gram,FALSE,NA,NA
AI mg/g diet,active ingredient milligrams per gram diet,FALSE,NA,NA
AI mg/g sd,Active ingredient milligrams per gram seed,FALSE,NA,NA
AI mg/g wet wt diet,active ingredient milligrams per gram wet weight diet,FALSE,NA,NA
AI mg/ha,active ingredient milligrams per hectare,FALSE,NA,NA
AI mg/kg,active ingredient milligrams per kilogram,FALSE,NA,NA
AI mg/kg bdwt,active ingredient milligrams per kilogram body weight,FALSE,NA,NA
AI mg/kg bdwt EU,active ingredient milligrams per kilogram body weight of experimental unit,FALSE,NA,NA
AI mg/kg bdwt/d,active ingredient milligrams per kilograms body weight per day,FALSE,NA,NA
AI mg/kg diet,active ingredient milligrams per kilogram diet,FALSE,NA,NA
AI mg/kg dry soil,active ingredient milligrams per kilogram dry soil,FALSE,NA,NA
AI mg/kg egg wt,active ingredient milligrams per kilogram egg weight,FALSE,NA,NA
AI mg/kg soil,active ingredient milligrams per kilogram soil,FALSE,NA,NA
AI mg/kg wet wt soil,Active ingredient milligrams per kilogram wet weight soil,FALSE,NA,NA
AI mg/kg/d,active ingredient milligrams per kilogram per day,FALSE,NA,NA
AI mg/m,Active ingredient milligrams per meter,FALSE,NA,NA
AI mg/m2,active ingredient milligrams per square meter,FALSE,NA,NA
AI mg/ml diet,active ingredient milligrams per milliliter diet,FALSE,NA,NA
AI mg/org,active ingredient milligrams per organism,FALSE,NA,NA
AI mg/sd,active ingredient milligrams per seed,FALSE,NA,NA
AI ml/100 L,active ingredient milliliters per 100 liters,FALSE,NA,NA
AI ml/100 g sd,active ingredient milliliters per 100 grams seed,FALSE,NA,NA
AI ml/100 g soil,active ingredient milliliters per 100 grams soil,FALSE,NA,NA
AI ml/100 gal,active ingredient milliliters per 100 gallons,FALSE,NA,NA
AI ml/100 kg,active ingredient milliliters per 100 kilograms,FALSE,NA,NA
AI ml/100 kg seed,active ingredient milliliters per 100 kilograms seed,FALSE,NA,NA
AI ml/1000 L,active ingredient milliliters per 1000 liters,FALSE,NA,NA
AI ml/378 L,active ingredient milliliters per 378 liters,FALSE,NA,NA
AI ml/500 g,active ingredient milliliter per 500 grams,FALSE,NA,NA
AI ml/L,active ingredient milliliters per liter,FALSE,NA,NA
AI ml/ha,active ingredient milliliters per hectare,FALSE,NA,NA
AI ml/kg,Active Ingredient milliliters per kilogram,FALSE,NA,NA
AI ml/kg diet,Active Ingredient milliliters per kilogram diet,FALSE,NA,NA
AI ml/kg sd,Active ingredient milliliters per kilograms seed,FALSE,NA,NA
AI ml/m,active ingredient milliliters per meter,FALSE,NA,NA
AI ml/m2,active ingredient milliliters per square meter,FALSE,NA,NA
AI ml/m2 canopy,active ingredient milliliters per square meter canopy,FALSE,NA,NA
AI ml/mi,active ingredient milliliters per minute,FALSE,NA,NA
AI ml/org,Active Ingredient milliliters per organism,FALSE,NA,NA
AI ml/t,active ingredient milliliters per ton,FALSE,NA,NA
AI mmol/L,active ingredient millimoles per liter,FALSE,NA,NA
AI mmol/dm3,active ingredient millimoles per cubic decimeter,FALSE,NA,NA
AI mol/eu,active ingredient moles per experimental unit,FALSE,NA,NA
AI mol/kg,Active ingredient moles per kilogram,FALSE,NA,NA
AI nL/L,active ingredient nanoliters per liter,FALSE,NA,NA
AI ng,active ingredient nanograms,FALSE,NA,NA
AI ng/L diet,active ingredient nanograms per liter diet,FALSE,NA,NA
